Meldepunkt;OBIS-Kennzahl;Lücke von;Lücke bis;Status der Lücke;Erläuterung
51432722762;1-1:2.29.0;14.04.2025 00:15;21.04.2025 00:00;F;Fehlender Wert
51432723299;1-1:2.29.0;14.04.2025 00:15;21.04.2025 00:00;F;Fehlender Wert
51432723562;1-1:2.29.0;14.04.2025 00:15;21.04.2025 00:00;F;Fehlender Wert
51432729982;1-1:2.29.0;19.04.2025 00:15;20.04.2025 00:00;V;Vorläufiger Wert
51432729982;1-1:2.29.0;20.04.2025 18:45;20.04.2025 19:00;V;Vorläufiger Wert
51432729990;1-1:2.29.0;19.04.2025 00:15;20.04.2025 00:00;V;Vorläufiger Wert
