Meldepunkt;OBIS-Kennzahl;Lücke von;Lücke bis;Status der Lücke;Erläuterung
10212662572;1-0:1.29.0;20.04.2025 18:45;20.04.2025 19:00;V;Vorläufiger Wert
10212740245;1-0:1.29.0;16.04.2025 11:15;16.04.2025 11:30;V;Vorläufiger Wert
10212741524;1-1:1.29.0;14.04.2025 00:15;21.04.2025 00:00;F;Fehlender Wert
10212791149;1-1:1.29.0;14.04.2025 00:15;21.04.2025 00:00;F;Fehlender Wert
10212960744;1-1:2.29.0;14.04.2025 00:15;21.04.2025 00:00;V;Vorläufiger Wert
10212960801;1-1:2.29.0;14.04.2025 00:15;21.04.2025 00:00;V;Vorläufiger Wert
10212964910;1-1:2.29.0;14.04.2025 00:15;21.04.2025 00:00;V;Vorläufiger Wert
10212967245;1-1:2.29.0;14.04.2025 00:15;21.04.2025 00:00;N;Keine Daten vorhanden
