Meldepunkt;OBIS-Kennzahl;Lücke von;Lücke bis;Status der Lücke;Erläuterung
10212813315;1-1:1.29.0;14.04.2025 00:15;21.04.2025 00:00;V;Vorläufiger Wert
10212841580;1-1:1.29.0;16.04.2025 00:15;20.04.2025 00:00;V;Vorläufiger Wert
10212929609;1-1:2.29.0;16.04.2025 00:15;20.04.2025 00:00;V;Vorläufiger Wert
