Meldepunkt;OBIS-Kennzahl;Lücke von;Lücke bis;Status der Lücke;Erläuterung
51418551250;1-0:1.29.0;20.04.2025 18:45;20.04.2025 19:00;V;Vorläufiger Wert
51418607061;1-0:1.29.0;14.04.2025 00:15;21.04.2025 00:00;V;Vorläufiger Wert
51418630161;1-0:1.29.0;20.04.2025 16:00;20.04.2025 16:15;V;Vorläufiger Wert
51418635624;1-0:1.29.0;20.04.2025 16:00;20.04.2025 16:30;V;Vorläufiger Wert
51418678179;1-0:1.29.0;14.04.2025 00:15;21.04.2025 00:00;V;Vorläufiger Wert
51418713090;1-0:1.29.0;14.04.2025 00:15;21.04.2025 00:00;V;Vorläufiger Wert
51418715624;1-1:2.29.0;20.04.2025 17:00;20.04.2025 17:15;V;Vorläufiger Wert
