Meldepunkt;OBIS-Kennzahl;Lücke von;Lücke bis;Status der Lücke;Erläuterung
10210651270;1-0:1.29.0;15.04.2025 10:30;15.04.2025 10:45;V;Vorläufiger Wert
10210710860;1-1:1.29.0;14.04.2025 00:15;21.04.2025 00:00;F;Fehlender Wert
10210751533;1-0:1.29.0;14.04.2025 00:15;21.04.2025 00:00;V;Vorläufiger Wert
10210867877;1-1:2.29.0;14.04.2025 00:15;21.04.2025 00:00;F;Fehlender Wert
10210879765;1-1:2.29.0;14.04.2025 00:15;21.04.2025 00:00;V;Vorläufiger Wert
